2026-02-06 08:50:44 | INFO     | ============================================================
2026-02-06 08:50:44 | INFO     | Starting platform (priority service)...
2026-02-06 08:50:44 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:50:46 | INFO     | Starting 5 services in parallel...
2026-02-06 08:50:46 | INFO     | All services started
2026-02-06 08:51:19 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 08:51:19 | INFO     | Platform service initialized
2026-02-06 08:51:19 | INFO     | Initialized 5 services
2026-02-06 08:51:19 | INFO     | ============================================================
2026-02-06 08:51:19 | INFO     | Starting platform and services
2026-02-06 08:51:19 | INFO     | ============================================================
2026-02-06 08:51:19 | INFO     | Starting platform (priority service)...
2026-02-06 08:51:19 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:51:21 | INFO     | Starting 5 services in parallel...
2026-02-06 08:51:21 | INFO     | All services started
2026-02-06 08:52:40 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 08:52:40 | INFO     | Platform service initialized
2026-02-06 08:52:40 | INFO     | Initialized 5 services
2026-02-06 08:52:40 | INFO     | ============================================================
2026-02-06 08:52:40 | INFO     | Starting platform and services
2026-02-06 08:52:40 | INFO     | ============================================================
2026-02-06 08:52:40 | INFO     | Starting platform (priority service)...
2026-02-06 08:52:40 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:52:42 | INFO     | Starting 5 services in parallel...
2026-02-06 08:52:42 | INFO     | All services started
2026-02-06 08:54:16 | INFO     | Loaded config from examples/services_config_example.json
2026-02-06 08:54:16 | INFO     | Platform service initialized
2026-02-06 08:54:16 | INFO     | Initialized 2 services
2026-02-06 08:54:16 | INFO     | ============================================================
2026-02-06 08:54:16 | INFO     | Starting platform and services
2026-02-06 08:54:16 | INFO     | ============================================================
2026-02-06 08:54:16 | INFO     | Starting platform (priority service)...
2026-02-06 08:54:16 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:54:18 | INFO     | Starting 2 services in parallel...
2026-02-06 08:54:18 | INFO     | All services started
2026-02-06 08:54:46 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 08:54:46 | INFO     | Platform service initialized
2026-02-06 08:54:46 | INFO     | Initialized 5 services
2026-02-06 08:54:46 | INFO     | ============================================================
2026-02-06 08:54:46 | INFO     | Stopping all services and platform
2026-02-06 08:54:46 | INFO     | ============================================================
2026-02-06 08:54:46 | INFO     | Stopping services...
2026-02-06 08:54:46 | INFO     | Stopping platform...
2026-02-06 08:54:46 | INFO     | All stopped
2026-02-06 08:54:54 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 08:54:54 | INFO     | Platform service initialized
2026-02-06 08:54:54 | INFO     | Initialized 5 services
2026-02-06 08:54:54 | INFO     | ============================================================
2026-02-06 08:54:54 | INFO     | Starting platform and services
2026-02-06 08:54:54 | INFO     | ============================================================
2026-02-06 08:54:54 | INFO     | Starting platform (priority service)...
2026-02-06 08:54:54 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:54:56 | INFO     | Starting 5 services in parallel...
2026-02-06 08:54:56 | INFO     | All services started
2026-02-06 08:55:30 | INFO     | ============================================================
2026-02-06 08:55:30 | INFO     | Stopping all services and platform
2026-02-06 08:55:30 | INFO     | ============================================================
2026-02-06 08:55:30 | INFO     | Stopping services...
2026-02-06 08:55:30 | INFO     | Stopping platform...
2026-02-06 08:55:30 | INFO     | All stopped
2026-02-06 08:56:48 | INFO     | Loaded config from examples/services_config_example.json
2026-02-06 08:56:48 | INFO     | Platform service initialized
2026-02-06 08:56:48 | INFO     | Initialized 2 services
2026-02-06 08:56:48 | INFO     | ============================================================
2026-02-06 08:56:48 | INFO     | Starting platform and services
2026-02-06 08:56:48 | INFO     | ============================================================
2026-02-06 08:56:48 | INFO     | Starting platform (priority service)...
2026-02-06 08:56:48 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 08:56:50 | INFO     | Starting 2 services in parallel...
2026-02-06 08:56:50 | INFO     | All services started
2026-02-06 08:56:55 | INFO     | ============================================================
2026-02-06 08:56:55 | INFO     | Stopping all services and platform
